model,ens,exp,postprocess,table,varn,period,mean
FGOALS-g2,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.36
FIO-ESM,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.45
GISS-E2-H-CC,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.78
GISS-E2-H,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.68
GISS-E2-R-CC,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.39
GISS-E2-R,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.29
IPSL-CM5A-LR,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,2.03
IPSL-CM5A-MR,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.93
IPSL-CM5B-LR,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.62
MIROC5,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.28
MPI-ESM-LR,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.70
